Location,ID,Latitude,Longitude,River
Littlejohns Creek - Farmington Reservoir,FRGC1,37.915,-120.935,Littlejohns Creek
Eel River - Fernbridge,FRNC1,40.61583,-124.20167,Eel River
San Diego River - Fashion Valley,FSNC1,32.765,-117.16778,San Diego River
Carson River - Fort Churchill,FTCN2,39.29167,-119.31111,Carson River
Smith River - Doctor Fine Bridge,FTDC1,41.88083,-124.13528,Smith River
Scott River - Fort Jones,FTJC1,41.64083,-123.01389,Scott River
Eel River - Fort Seward,FTSC1,40.21806,-123.63167,Eel River
Sisquoc River - Garey,GARC1,34.89389,-120.30556,Sisquoc River
Miller Creek - Gerber Reservoir,GERO3,42.20111,-121.13028,Miller Creek
Russian River - Russian River - Geyserville,GEYC1,38.71111,-122.89222,Russian River
East Fork Carson River - Gardnerville,GRDN2,38.84722,-119.70278,East Fork Carson River
Guadalupe Creek - Guadalupe Reservoir,GUAC1,37.19917,-121.87833,Guadalupe Creek
Guadalupe River - San Jose - Almaden Exprwy,GUDC1,37.28083,-121.88,Guadalupe River
Russian River - Guerneville,GUEC1,38.49944,-122.99722,Russian River
North Fork Yuba River - Goodyears Bar,GYRC1,39.525,-120.93694,North Fork Yuba River
Sacramento River - Hamilton City,HAMC1,39.75139,-121.99722,Sacramento River
Tujunga Wash - Hansen Dam,HANC1,34.26028,-118.38417,Tujunga Wash
Indian Creek - Happy Camp,HAPC1,41.83528,-123.38194,Indian Creek
San Luis Rey River - Lake Henshaw,HAWC1,33.23861,-116.76167,San Luis Rey River
Humboldt River - Battle Mountain,HBMN2,40.66667,-116.93056,Humboldt River
Bear Creek - Holsten Chimney Canyon,HCHC1,38.95556,-122.34167,Bear Creek
Russian River - Healdsburg,HEAC1,38.61333,-122.83528,Russian River
Tuolumne River - Hetch Hetchy Reservoir,HETC1,37.94778,-119.78694,Tuolumne River
Fresno River - Hensley Lake,HIDC1,37.10167,-119.88,Fresno River
Big Chico Creek - Chico,HKCC1,39.76806,-121.77694,Big Chico Creek
